slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
w-ug-kampala,Kampala,Uganda,world,,0.31628,32.58219,,1680600,Africa,,,82.5,172.8,317.9,770.7,457,177.9,3.579,0.004,0.246,0.925,139.0,59.0,0.118,0.227,278.9,3481,
w-cn-xining,Xining,China,world,,36.62554,101.75739,,1677177,Asia,,,27.5,84.3,152.1,627.3,318,193.1,3.399,0.161,0.568,0.961,200.0,20.6,0.29,0.079,216.3,865,
w-cn-changshu,Changshu,China,world,,31.64615,120.74221,,1677050,Asia,,,0.5,115.5,156.8,712.2,392,116.0,3.38,0.177,0.436,0.966,200.0,21.4,0.453,0.073,186.1,1099,norm_short
w-cn-huainan,Huainan,China,world,,32.62639,116.99694,,1666826,Asia,,,89.5,145.3,163.9,669.0,350,136.4,3.019,0.448,0.523,0.93,278.0,20.1,0.26,0.225,178.3,786,norm_short
w-ma-rabat,Rabat,Morocco,world,,34.01325,-6.83255,,1655753,Africa,,,39.5,103.2,227.5,719.6,413,123.9,3.469,0.102,0.295,0.951,238.0,117.8,0.186,0.083,361.1,5072,
w-br-recife,Recife,Brazil,world,,-8.05389,-34.88111,,1653461,South America,,,34.5,92.3,201.2,673.6,385,108.8,3.546,0.034,0.342,0.982,357.0,103.6,0.237,0.072,327.8,5038,
w-cn-suzhou-2,Suzhou,China,world,,33.63611,116.97889,,1647642,Asia,,,0.5,44.5,74.6,545.6,214,40.3,2.823,0.572,0.856,0.972,nan,29.5,0.434,0.119,226.5,705,
w-mx-ecatepec-de-morelos,Ecatepec de Morelos,Mexico,world,,19.60492,-99.06064,,1645352,North America,,,64.5,71.6,233.8,720.9,413,103.5,3.345,0.206,0.316,0.984,217.0,124.3,0.172,0.273,410.6,6662,
w-cn-lu-an,Lu'an,China,world,,31.73561,116.51688,,1644344,Asia,,,61.5,113.8,170.3,673.6,368,140.0,3.486,0.087,0.396,0.831,nan,22.6,0.463,0.106,199.5,583,norm_short
w-ve-valencia,Valencia,Venezuela,world,,10.16153,-68.00044,,1619470,South America,,,82.5,54.0,122.2,682.5,355,79.1,3.313,0.231,0.607,0.955,106.0,129.7,0.34,0.092,489.7,3775,
w-in-ludhiana,Ludhiana,India,world,,30.91204,75.85379,,1618879,Asia,,,0.5,56.9,278.7,768.1,450,57.1,3.495,0.079,0.305,0.932,333.0,259.7,0.181,0.091,673.7,8430,
w-cn-yancheng,Yancheng,China,world,,33.3575,120.1573,,1615717,Asia,,,54.5,46.7,65.5,473.5,191,257.8,2.702,0.641,0.845,0.974,nan,20.1,0.474,0.047,228.9,815,
w-ru-novosibirsk,Novosibirsk,Russia,world,,55.02259,82.93175,,1612833,Europe,,,35.5,63.9,89.2,648.7,350,234.8,3.283,0.255,0.473,0.968,238.0,28.1,0.319,0.147,219.0,1727,
w-iq-erbil,Erbil,Iraq,world,,36.19117,44.00943,,1612700,Asia,,,41.5,74.9,327.7,778.4,466,65.5,3.518,0.059,0.164,0.978,357.0,225.1,0.124,0.039,613.7,6895,
w-jp-fukuoka,Fukuoka,Japan,world,,33.6,130.41667,,1612392,Asia,,,52.5,31.5,185.7,697.3,363,45.0,3.486,0.087,0.419,0.968,111.0,151.3,0.424,0.057,826.7,6658,
w-cn-taizhou,Taizhou,China,world,,32.49069,119.90812,,1607108,Asia,,,89.5,116.0,124.7,627.2,307,122.3,2.674,0.657,0.708,0.979,263.0,13.1,0.576,0.027,165.8,526,norm_short
w-cn-daqing,Daqing,China,world,,46.58333,125.0,,1604027,Asia,,,15.5,65.1,86.5,626.9,317,261.0,3.075,0.41,0.474,0.923,385.0,9.5,0.193,0.105,113.7,261,norm_short
w-cn-wuhu,Wuhu,China,world,,31.35259,118.42947,,1598165,Asia,,,0.5,47.2,64.0,594.4,274,42.5,3.233,0.294,0.694,0.96,250.0,20.2,0.454,0.044,211.8,755,
w-mx-santiago-de-queretaro,Santiago de Queretaro,Mexico,world,,20.58806,-100.38806,,1594212,North America,,,70.5,59.1,195.7,730.9,407,76.0,3.429,0.136,0.48,0.978,nan,164.1,0.234,0.131,555.6,8442,
w-cn-dazhou,Dazhou,China,world,,31.2106,107.46308,,1589435,Asia,,,0.5,145.0,173.9,689.3,376,142.7,3.533,0.045,0.431,0.867,227.0,15.9,0.294,0.179,151.6,646,norm_short
w-cn-yangzhou,Yangzhou,China,world,,32.39722,119.43583,,1584237,Asia,,,89.5,91.5,134.9,628.8,300,99.1,3.031,0.439,0.686,0.979,227.0,17.1,0.422,0.062,180.5,1164,norm_short
w-mx-leon-de-los-aldama,Leon de los Aldama,Mexico,world,,21.12183,-101.68253,,1579803,North America,,,13.5,60.5,189.9,707.9,373,75.3,3.168,0.343,0.666,0.994,nan,155.9,0.445,0.077,569.2,6712,
w-sa-makkah,Makkah,Saudi Arabia,world,,21.42664,39.82563,,1578722,Asia,,,0.5,105.6,245.0,736.0,416,104.5,3.557,0.024,0.359,0.904,333.0,71.0,0.108,0.179,337.5,3256,
w-kh-phnom-penh,Phnom Penh,Cambodia,world,,11.56245,104.91601,,1573544,Asia,,,82.5,76.1,140.1,700.7,374,97.7,3.179,0.334,0.586,0.982,71.0,86.0,0.363,0.117,392.0,3722,
w-cn-guilin,Guilin,China,world,,25.28022,110.29639,,1572300,Asia,,,89.5,108.5,157.2,735.0,417,120.5,3.479,0.093,0.38,0.936,294.0,23.2,0.278,0.119,185.1,1031,norm_short
w-sy-damascus,Damascus,Syria,world,,33.5102,36.29128,,1569394,Asia,,,4.5,73.8,229.3,735.4,413,78.4,3.495,0.079,0.491,0.937,385.0,140.6,0.146,0.085,466.9,4785,
w-pk-quetta,Quetta,Pakistan,world,,30.18414,67.00141,,1565546,Asia,,,28.5,93.6,227.6,735.8,412,132.6,3.458,0.111,0.398,0.952,278.0,99.7,0.163,0.211,382.8,3762,
w-cn-zhaoqing,Zhaoqing,China,world,,23.04893,112.46091,,1553109,Asia,,,0.5,61.7,111.4,597.7,295,59.9,3.326,0.221,0.682,0.963,263.0,53.5,0.248,0.068,257.3,2496,
w-ng-onitsha,Onitsha,Nigeria,world,,6.14978,6.78569,,1553000,Africa,,,3.5,106.4,168.4,706.2,409,144.3,3.555,0.026,0.306,0.923,69.0,57.8,0.197,0.173,273.7,1831,
w-cn-mianyang,Mianyang,China,world,,31.46784,104.68168,,1550000,Asia,,,1.5,173.7,229.8,739.0,421,154.3,3.512,0.064,0.332,0.916,357.0,17.9,0.379,0.1,198.6,653,norm_short
w-nz-auckland,Auckland,New Zealand,world,,-36.84853,174.76349,,1547200,Oceania,,,14.5,96.9,190.0,633.9,369,116.2,3.521,0.056,0.306,0.968,227.0,63.8,0.258,0.161,277.9,4824,
w-ir-isfahan,Isfahan,Iran,world,,32.65246,51.67462,,1547164,Asia,,,6.5,44.5,226.7,730.8,403,50.6,3.412,0.15,0.528,0.953,143.0,339.6,0.105,0.397,668.1,17382,
w-cn-wanzhou,Wanzhou,China,world,,30.76451,108.39586,,1545900,Asia,,,73.5,149.1,176.8,688.1,368,212.1,3.546,0.033,0.344,0.883,238.0,10.6,0.283,0.086,146.0,579,norm_short
w-kz-astana,Astana,Kazakhstan,world,,51.1801,71.44598,,1544142,Asia,,,79.5,60.5,81.2,690.7,377,224.0,3.395,0.164,0.426,0.962,179.0,30.6,0.249,0.14,185.8,1644,norm_short
w-zw-harare,Harare,Zimbabwe,world,,-17.82772,31.05337,,1542813,Africa,,,76.5,64.3,70.7,650.2,337,181.8,3.396,0.163,0.5,0.952,185.0,41.6,0.32,0.084,237.8,1437,
w-lr-monrovia,Monrovia,Liberia,world,,6.30054,-10.7969,,1542549,Africa,,,20.5,41.8,41.8,381.0,173,218.5,3.118,0.379,0.747,0.929,116.0,11.8,0.49,0.199,70.3,431,norm_short
w-cn-putian,Putian,China,world,,25.43944,119.01028,,1539389,Asia,,,0.5,130.8,173.2,735.6,421,132.5,3.552,0.028,0.268,0.95,217.0,31.2,0.352,0.053,227.3,955,
w-jp-kawasaki,Kawasaki,Japan,world,,35.52056,139.71722,,1538262,Asia,,,0.5,75.3,214.8,714.9,395,74.8,3.53,0.048,0.339,0.961,385.0,126.3,0.4,0.076,432.2,5228,
w-br-goiania,Goiania,Brazil,world,,-16.67861,-49.25389,,1536097,South America,,,73.5,60.8,161.3,726.8,404,103.5,3.469,0.102,0.434,0.974,81.0,135.7,0.302,0.062,478.8,6520,
w-us-san-antonio,San Antonio,United States,world,,29.42412,-98.49363,,1526656,North America,,,89.5,69.7,162.4,697.0,376,48.0,2.962,0.486,0.545,0.99,72.0,75.9,0.428,0.079,420.6,3751,
w-jp-kobe,Kobe,Japan,world,,34.6913,135.183,,1525152,Asia,,,63.5,45.8,146.7,673.2,351,86.4,3.357,0.195,0.416,0.952,333.0,175.4,0.292,0.074,484.6,5344,
w-se-stockholm,Stockholm,Sweden,world,,59.32938,18.06871,,1515017,Europe,,,63.5,76.3,212.1,746.0,428,100.9,3.529,0.049,0.264,0.959,263.0,101.7,0.365,0.142,418.8,8705,
w-mx-ciudad-juarez,Ciudad Juarez,Mexico,world,,31.72024,-106.46084,,1512450,North America,,,4.5,41.9,112.7,708.9,383,77.2,3.331,0.216,0.468,0.991,106.0,152.8,0.481,0.102,532.5,4368,
w-vn-can-tho,Can Tho,Vietnam,world,,10.03711,105.78825,,1507187,Asia,,,48.5,93.8,156.9,607.9,330,197.4,3.283,0.255,0.523,0.943,385.0,41.8,0.19,0.255,205.7,2295,
w-de-munich,Munich,Germany,world,,48.13743,11.57549,,1505005,Europe,,,6.5,130.6,292.3,762.0,446,135.2,3.499,0.076,0.292,0.987,nan,83.0,0.333,0.082,331.8,8777,
w-bd-khulna,Khulna,Bangladesh,world,,22.80979,89.56439,,1500689,Asia,,,2.5,120.4,200.9,715.3,391,122.7,3.357,0.196,0.485,0.897,nan,64.8,0.095,0.19,282.3,2131,
w-br-belem,Belem,Brazil,world,,-1.45583,-48.50444,,1499641,South America,,,38.5,52.8,72.3,446.7,256,115.7,3.419,0.144,0.404,0.987,77.0,52.6,0.447,0.149,191.9,2004,norm_short
w-ru-yekaterinburg,Yekaterinburg,Russia,world,,56.85733,60.61529,,1495066,Europe,,,78.5,44.6,59.8,631.4,322,201.5,3.35,0.201,0.599,0.978,333.0,17.9,0.433,0.199,158.4,1958,norm_short
w-br-porto-alegre,Porto Alegre,Brazil,world,,-30.03283,-51.23019,,1488252,South America,,,6.5,80.8,134.0,576.0,324,109.1,3.465,0.105,0.384,0.989,185.0,49.5,0.399,0.033,218.3,3184,
w-cn-yinchuan,Yinchuan,China,world,,38.46806,106.27306,,1487579,Asia,,,6.5,174.4,215.5,690.3,363,210.7,2.995,0.464,0.54,0.99,312.0,19.0,0.421,0.067,182.6,609,norm_short
w-in-nashik,Nashik,India,world,,19.99727,73.79096,,1486053,Asia,,,6.5,85.8,218.1,731.6,407,89.2,3.343,0.207,0.524,0.883,294.0,127.4,0.176,0.18,456.2,4728,
w-cn-taizhou-2,Taizhou,China,world,,28.66266,121.43312,,1485502,Asia,,,1.5,168.6,192.6,718.6,396,159.1,3.015,0.451,0.451,0.963,385.0,24.5,0.391,0.044,191.7,957,norm_short
w-py-asuncion,Asuncion,Paraguay,world,,-25.28646,-57.647,,1482200,South America,,,32.5,26.8,56.0,577.0,258,119.2,3.005,0.457,0.624,0.994,98.0,70.2,0.68,0.079,303.7,2482,
w-cn-yiwu,Yiwu,China,world,,29.31506,120.07676,,1481384,Asia,,,36.5,98.4,200.1,717.7,400,169.7,3.537,0.042,0.422,0.959,333.0,46.2,0.423,0.042,342.3,1413,
w-mx-zapopan,Zapopan,Mexico,world,,20.72111,-103.38742,,1476491,North America,,,9.5,60.3,135.0,717.2,393,86.8,3.32,0.225,0.51,0.977,94.0,123.8,0.327,0.133,459.0,7176,
w-id-makassar,Makassar,Indonesia,world,,-5.14861,119.43194,,1474393,Asia,,,16.5,64.7,238.3,736.5,411,71.8,3.328,0.219,0.524,0.958,333.0,195.7,0.138,0.184,559.8,9054,
w-cn-quanzhou,Quanzhou,China,world,,24.91389,118.58583,,1469157,Asia,,,24.5,164.5,243.6,754.3,439,208.6,3.545,0.035,0.335,0.947,nan,28.4,0.289,0.144,223.4,1133,
w-in-madurai,Madurai,India,world,,9.919,78.11953,,1465625,Asia,,,0.5,71.2,228.2,738.4,413,71.4,3.293,0.247,0.516,0.93,nan,176.0,0.185,0.145,523.7,6641,
w-cn-jinhua,Jinhua,China,world,,29.10678,119.64421,,1463990,Asia,,,80.5,103.0,130.8,715.2,390,130.1,3.333,0.215,0.516,0.942,208.0,45.9,0.294,0.109,289.5,1537,
w-cn-cixi,Cixi,China,world,,30.1764,121.2457,,1457510,Asia,,,15.5,104.7,148.8,647.1,329,158.4,2.99,0.467,0.634,0.984,185.0,22.3,0.63,0.067,211.0,796,
w-cn-changde,Changde,China,world,,29.03205,111.69844,,1457419,Asia,,,0.5,96.2,132.3,685.9,359,92.5,3.085,0.402,0.566,0.97,333.0,28.7,0.337,0.091,208.4,850,
w-my-kuala-lumpur,Kuala Lumpur,Malaysia,world,,3.1412,101.68653,,1453975,Asia,,,0.5,131.8,278.8,761.9,447,131.7,3.558,0.023,0.249,0.925,nan,66.1,0.149,0.136,339.4,6688,
w-tr-kayseri,Kayseri,Turkey,world,,38.73222,35.48528,,1452458,Asia,,,68.5,54.8,178.2,735.2,411,83.0,3.509,0.066,0.486,0.957,357.0,159.0,0.167,0.064,546.1,4921,
w-cn-kaifeng,Kaifeng,China,world,,34.7986,114.30742,,1451741,Asia,,,89.5,61.6,63.7,599.3,273,37.0,2.751,0.614,0.734,0.984,278.0,24.8,0.349,0.059,209.6,685,
w-cn-anshan,Anshan,China,world,,41.12361,122.99,,1450000,Asia,,,23.5,43.8,57.1,573.5,285,195.6,3.116,0.38,0.588,0.953,217.0,33.8,0.392,0.121,207.4,1031,
w-ir-karaj,Karaj,Iran,world,,35.83266,50.99155,,1448075,Asia,,,3.5,60.9,173.0,733.7,412,78.2,3.452,0.116,0.364,0.974,200.0,141.7,0.165,0.255,511.4,5272,
w-np-kathmandu,Kathmandu,Nepal,world,,27.70169,85.3206,,1442271,Asia,,,14.5,95.2,235.3,745.1,423,102.8,3.488,0.085,0.446,0.911,147.0,134.1,0.113,0.237,444.1,6707,
w-kr-daejeon,Daejeon,South Korea,world,,36.34913,127.38493,,1441203,Asia,,,0.5,58.2,121.2,723.8,402,55.9,3.462,0.108,0.38,0.969,nan,98.6,0.308,0.041,388.8,3885,
w-cn-baoji,Baoji,China,world,,34.36775,107.23705,,1437802,Asia,,,1.5,52.9,69.7,509.7,217,63.7,2.842,0.561,0.838,0.896,250.0,14.6,0.288,0.108,154.0,609,norm_short
w-cn-suqian,Suqian,China,world,,33.94917,118.29583,,1437685,Asia,,,0.5,49.5,55.8,579.2,263,68.6,2.876,0.54,0.733,0.985,312.0,32.8,0.536,0.069,247.4,1223,
w-cn-liuzhou,Liuzhou,China,world,,24.32405,109.40698,,1436599,Asia,,,89.5,84.8,137.3,662.3,341,70.7,3.296,0.245,0.546,0.939,357.0,34.4,0.291,0.118,246.6,1257,
w-in-tirunelveli,Tirunelveli,India,world,,8.72742,77.6838,,1435844,Asia,,,0.5,144.1,198.8,703.7,381,142.8,3.359,0.194,0.434,0.902,333.0,54.1,0.093,0.246,175.3,2245,norm_short
w-tr-konya,Konya,Turkey,world,,37.87135,32.48464,,1433861,Asia,,,30.5,82.9,306.5,783.4,471,79.6,3.574,0.008,0.198,0.95,385.0,178.7,0.186,0.061,553.0,5699,
w-cn-zhangjiagang,Zhangjiagang,China,world,,31.865,120.53889,,1432044,Asia,,,18.5,88.0,121.8,663.3,349,195.2,3.153,0.353,0.555,0.976,172.0,21.2,0.603,0.029,207.5,1009,
w-in-agra,Agra,India,world,,27.18333,78.01667,,1430055,Asia,,,2.5,117.8,249.1,748.8,429,119.3,3.438,0.128,0.35,0.906,294.0,104.0,0.108,0.228,344.8,5481,
w-id-south-tangerang,South Tangerang,Indonesia,world,,-6.28862,106.71789,,1429529,Asia,,,89.5,61.8,257.7,751.5,429,62.5,3.377,0.179,0.459,0.94,294.0,223.8,0.119,0.298,602.5,15061,
w-ir-tabriz,Tabriz,Iran,world,,38.08,46.2919,,1424641,Asia,,,2.5,86.5,294.6,768.4,452,85.5,3.489,0.084,0.312,0.955,nan,164.1,0.142,0.308,506.5,6990,
w-ua-kharkiv,Kharkiv,Ukraine,world,,49.98177,36.25475,,1421125,Europe,,,13.5,195.9,272.8,765.3,453,208.0,3.549,0.031,0.253,0.978,333.0,36.8,0.267,0.149,221.4,2249,
w-cn-jinjiang,Jinjiang,China,world,,24.81978,118.57415,,1416151,Asia,,,89.5,215.6,254.6,750.1,438,217.0,3.512,0.064,0.285,0.961,294.0,15.8,0.38,0.12,164.9,591,norm_short
w-in-faridabad,Faridabad,India,world,,28.41124,77.31316,,1414050,Asia,,,85.5,43.3,105.2,652.7,317,62.9,3.013,0.452,0.723,0.951,nan,160.1,0.13,0.143,529.3,5363,
w-cn-bozhou,Bozhou,China,world,,33.87722,115.77028,,1409436,Asia,,,0.5,72.7,85.1,568.9,252,56.6,2.715,0.634,0.815,0.995,294.0,13.6,0.569,0.069,155.7,306,norm_short
w-cn-qujing,Qujing,China,world,,25.48333,103.78333,,1408500,Asia,,,0.5,118.7,144.3,680.0,368,120.8,3.332,0.216,0.36,0.942,nan,18.5,0.366,0.08,170.6,585,norm_short
w-us-san-diego,San Diego,United States,world,,32.71571,-117.16472,,1404452,North America,,,89.5,29.6,97.3,655.9,331,37.2,3.263,0.27,0.52,0.976,116.0,57.1,0.548,0.146,319.4,4984,
w-kr-gwangju,Gwangju,South Korea,world,,35.15472,126.91556,,1401235,Asia,,,2.5,113.0,292.5,755.7,443,113.2,3.499,0.076,0.238,0.964,333.0,99.4,0.354,0.053,384.7,3640,
w-cn-zhanjiang,Zhanjiang,China,world,,21.23391,110.38749,,1400709,Asia,,,69.5,116.0,117.8,686.8,364,248.1,3.417,0.146,0.513,0.944,263.0,21.3,0.261,0.101,184.8,794,norm_short
w-cn-fushun,Fushun,China,world,,41.88669,123.94363,,1400646,Asia,,,87.5,27.9,37.0,414.7,170,87.9,3.017,0.449,0.785,0.973,77.0,11.8,0.493,0.057,135.4,768,norm_short
w-in-rajkot,Rajkot,India,world,,22.29161,70.79322,,1390640,Asia,,,86.5,49.1,241.4,747.9,424,50.6,3.329,0.218,0.451,0.942,147.0,295.1,0.281,0.142,690.4,9549,
w-cn-luoyang,Luoyang,China,world,,34.67345,112.43684,,1390581,Asia,,,65.5,33.3,57.7,614.8,292,95.4,3.138,0.364,0.548,0.969,312.0,36.6,0.448,0.061,301.6,1980,
w-cn-guankou,Guankou,China,world,,28.15861,113.62709,,1380000,Asia,,,19.5,71.1,102.4,671.2,352,184.4,3.421,0.143,0.496,0.881,294.0,43.9,0.352,0.03,219.1,724,
w-vn-hue,Hue,Vietnam,world,,16.4619,107.59546,,1380000,Asia,,,53.5,113.5,264.2,758.9,446,96.3,3.494,0.08,0.255,0.939,94.0,85.2,0.215,0.14,349.4,3159,
w-it-milan,Milan,Italy,world,,45.46427,9.18951,,1371498,Europe,,,89.5,75.4,273.8,759.8,444,81.3,3.491,0.082,0.321,0.99,294.0,155.4,0.335,0.057,496.0,14418,
w-in-najafgarh,Najafgarh,India,world,,28.60922,76.97982,,1365000,Asia,,,0.5,41.9,107.7,647.8,308,44.6,2.992,0.466,0.722,0.945,385.0,209.6,0.245,0.222,529.7,5252,
w-td-n-djamena,N'Djamena,Chad,world,,12.10672,15.0444,,1359526,Africa,,,89.5,53.3,110.4,701.9,376,67.6,3.393,0.166,0.457,0.98,65.0,82.8,0.388,0.026,317.7,2227,
w-cn-handan,Handan,China,world,,36.60999,114.48764,,1358318,Asia,,,4.5,17.3,20.3,381.7,120,132.1,2.267,0.839,0.924,0.985,nan,14.5,0.554,0.057,161.4,388,norm_short
w-pk-bannu,Bannu,Pakistan,world,,32.98527,70.60403,,1357890,Asia,,,46.5,188.3,238.7,727.3,409,192.1,3.432,0.133,0.192,0.922,385.0,17.4,0.188,0.19,126.0,417,norm_short
w-cn-yichang,Yichang,China,world,,30.71444,111.28472,,1350150,Asia,,,88.5,137.0,214.7,705.9,399,136.1,3.551,0.03,0.315,0.911,nan,29.2,0.322,0.114,223.0,917,
w-mg-antananarivo,Antananarivo,Madagascar,world,,-18.91368,47.53613,,1349501,Africa,,,4.5,214.9,298.8,770.8,457,213.1,3.559,0.023,0.223,0.878,312.0,41.8,0.135,0.259,224.3,2192,
w-cn-heze,Heze,China,world,,35.23929,115.47358,,1346717,Asia,,,6.5,58.6,74.1,554.6,238,121.6,2.765,0.606,0.81,0.98,385.0,16.0,0.546,0.059,188.1,547,norm_short
w-in-jamshedpur,Jamshedpur,India,world,,22.80278,86.18545,,1339438,Asia,,,89.5,83.8,153.0,703.3,387,82.9,3.415,0.147,0.379,0.915,nan,101.8,0.128,0.118,336.7,4418,
w-cm-douala,Douala,Cameroon,world,,4.04827,9.70428,,1338082,Africa,,,13.5,129.0,273.5,757.4,444,120.0,3.538,0.041,0.219,0.97,385.0,85.9,0.248,0.12,339.0,2925,
w-tr-antalya,Antalya,Turkey,world,,36.90812,30.69556,,1335002,Asia,,,89.5,59.6,233.4,754.5,434,59.4,3.436,0.13,0.403,0.972,nan,206.5,0.231,0.028,613.7,5207,
w-us-dallas,Dallas,United States,world,,32.78306,-96.80667,,1326087,North America,,,45.5,67.6,187.6,733.6,414,103.2,3.345,0.205,0.371,0.984,111.0,80.4,0.34,0.049,418.6,6362,
w-jp-saitama,Saitama,Japan,world,,35.90807,139.65657,,1324854,Asia,,,70.5,79.6,276.0,762.9,444,82.9,3.417,0.146,0.339,0.91,357.0,175.6,0.183,0.122,511.8,7247,
w-in-gorakhpur,Gorakhpur,India,world,,29.44768,75.67206,,1324570,Asia,,,0.5,91.7,91.7,619.6,323,90.9,3.351,0.201,0.589,0.867,67.0,2.0,0.061,0.319,45.7,150,norm_short
w-ne-niamey,Niamey,Niger,world,,13.51366,2.1098,,1323691,Africa,,,49.5,54.8,91.6,704.1,386,127.6,3.341,0.208,0.377,0.975,nan,87.8,0.306,0.032,330.3,3050,
w-cn-liupanshui,Liupanshui,China,world,,26.59444,104.83333,,1320825,Asia,,,19.5,146.4,174.7,705.3,385,241.6,3.39,0.169,0.429,0.891,128.0,15.2,0.357,0.124,157.7,541,norm_short
w-cn-maoming,Maoming,China,world,,21.66625,110.91364,,1307802,Asia,,,0.5,49.6,69.8,617.7,287,26.4,3.175,0.338,0.669,0.954,227.0,59.1,0.223,0.07,287.4,1600,
w-ca-calgary,Calgary,Canada,world,,51.05011,-114.08529,,1306784,North America,,,0.5,45.9,87.7,580.9,235,28.0,2.997,0.463,0.787,0.977,161.0,70.1,0.41,0.083,371.5,4229,
w-ly-tripoli,Tripoli,Libya,world,,32.88743,13.18733,,1302947,Africa,,,89.5,61.6,202.8,665.0,382,61.5,3.521,0.056,0.347,0.955,227.0,172.1,0.19,0.054,454.4,4608,
w-sa-madinah,Madinah,Saudi Arabia,world,,24.46861,39.61417,,1300000,Asia,,,89.5,59.9,257.4,756.6,439,59.0,3.5,0.075,0.336,0.939,119.0,211.4,0.132,0.044,582.0,5747,
w-cm-yaounde,Yaounde,Cameroon,world,,3.86667,11.51667,,1299369,Africa,,,41.5,150.2,297.5,775.5,462,160.5,3.579,0.004,0.24,0.907,263.0,87.7,0.134,0.209,340.3,3996,
w-id-batam,Batam,Indonesia,world,,1.14937,104.02491,,1296960,Asia,,,89.5,65.4,178.3,734.9,414,65.8,3.516,0.06,0.418,0.937,179.0,174.8,0.168,0.105,503.8,5190,
w-cn-qinzhou,Qinzhou,China,world,,21.98247,108.65061,,1296300,Asia,,,0.5,45.5,76.2,646.9,315,46.4,3.261,0.272,0.563,0.946,nan,26.8,0.308,0.179,189.0,1033,norm_short
w-cn-luohe,Luohe,China,world,,33.57424,114.03261,,1294974,Asia,,,0.5,56.2,103.5,615.3,273,52.3,2.753,0.613,0.812,0.913,200.0,75.7,0.301,0.194,364.7,2489,
w-cn-xiangyang,Xiangyang,China,world,,32.0422,112.14479,,1294733,Asia,,,85.5,97.4,215.1,729.5,417,158.2,3.424,0.14,0.289,0.94,294.0,54.9,0.436,0.054,287.4,1684,
w-cn-yangjiang,Yangjiang,China,world,,21.85563,111.96272,,1292987,Asia,,,88.5,119.5,176.3,707.0,384,119.7,3.333,0.215,0.482,0.952,238.0,39.7,0.31,0.098,231.2,1028,
w-cn-yixing,Yixing,China,world,,31.36059,119.82016,,1285785,Asia,,,4.5,144.1,159.2,703.2,392,204.4,3.281,0.257,0.346,0.967,333.0,19.3,0.378,0.127,148.3,1076,norm_short
w-rs-belgrade,Belgrade,Serbia,world,,44.80401,20.46513,,1273651,Europe,,,32.5,105.1,250.6,750.0,432,128.4,3.518,0.059,0.347,0.983,357.0,84.9,0.285,0.091,365.3,5938,
w-uy-montevideo,Montevideo,Uruguay,world,,-34.90328,-56.18816,,1270737,South America,,,84.5,37.4,73.9,602.1,297,94.3,3.271,0.265,0.536,0.993,102.0,75.0,0.643,0.015,312.3,2929,
w-ru-nizhniy-novgorod,Nizhniy Novgorod,Russia,world,,56.32867,44.00205,,1259013,Europe,,,61.5,129.8,149.2,629.6,357,177.5,3.523,0.054,0.295,0.958,nan,22.4,0.264,0.159,133.2,1875,norm_short
w-mz-maputo,Maputo,Mozambique,world,,-25.96553,32.58322,,1254837,Africa,,,32.5,46.8,96.2,565.6,277,141.9,3.386,0.172,0.62,0.971,156.0,80.6,0.271,0.128,298.7,3196,
w-cd-kananga,Kananga,Democratic Republic of the Congo,world,,-5.89624,22.41659,,1247168,Africa,,,89.5,181.5,275.2,759.6,444,179.1,3.537,0.042,0.237,0.962,385.0,52.7,0.181,0.171,241.3,2032,
w-ru-kazan,Kazan,Russia,world,,55.78874,49.12214,,1243500,Europe,,,0.5,218.1,283.3,741.7,431,216.5,3.511,0.065,0.23,0.962,278.0,24.5,0.333,0.118,179.3,2236,norm_short
w-ve-barquisimeto,Barquisimeto,Venezuela,world,,10.0647,-69.35703,,1240714,South America,,,85.5,71.5,143.5,727.9,408,106.3,3.178,0.335,0.438,0.961,109.0,96.3,0.397,0.106,381.4,2619,
w-ht-port-au-prince,Port-au-Prince,Haiti,world,,18.54349,-72.33881,,1234742,North America,,,13.5,91.6,146.0,697.3,378,149.9,3.442,0.125,0.508,0.929,109.0,71.3,0.171,0.173,302.9,2479,
w-ke-mombasa,Mombasa,Kenya,world,,-4.05466,39.66359,,1208333,Africa,,,0.5,118.7,176.8,694.5,385,118.0,3.532,0.047,0.345,0.938,217.0,60.3,0.112,0.147,211.6,1812,
w-co-barranquilla,Barranquilla,Colombia,world,,10.96854,-74.78132,,1206319,South America,,,22.5,76.4,181.3,742.1,421,84.2,3.451,0.117,0.43,0.99,77.0,113.8,0.505,0.06,459.9,4077,
w-ru-chelyabinsk,Chelyabinsk,Russia,world,,55.1611,61.42877,,1202371,Europe,,,87.5,77.1,120.9,694.2,372,146.3,3.371,0.184,0.454,0.983,263.0,27.2,0.392,0.118,204.4,2052,
w-mx-merida,Merida,Mexico,world,,20.967,-89.62318,,1201000,North America,,,6.5,81.4,156.5,695.9,365,109.1,3.315,0.23,0.645,0.995,143.0,94.7,0.509,0.078,427.0,4136,
w-do-santiago-de-los-caballeros,Santiago de los Caballeros,Dominican Republic,world,,19.45036,-70.69085,,1200000,North America,,,7.5,83.8,241.5,752.0,432,98.4,3.473,0.098,0.376,0.961,62.0,131.8,0.252,0.145,455.4,4872,
