slug,name,country,kind,province,lat,lon,pop2024,pop,region,netmig_rate,income_class,rotation_deg,erank,erank_norm,erank_l1,k90,erank_unrotated,orient_entropy,orient_order,grid_share,straightness,block_m,intersection_km2,four_way_share,deadend_share,street_km,n_ways,flag
w-gb-edinburgh,Edinburgh,United Kingdom,world,,55.95206,-3.19648,,514990,Europe,,,73.5,110.9,225.1,746.5,427,145.2,3.497,0.078,0.376,0.943,86.0,93.8,0.154,0.252,343.7,5468,
w-br-macapa,Macapa,Brazil,world,,0.03889,-51.06639,,512902,South America,,,3.5,24.6,38.9,503.8,181,100.4,2.992,0.466,0.823,0.984,85.0,50.4,0.562,0.09,265.6,1549,
w-fr-toulouse,Toulouse,France,world,,43.60426,1.44367,,511684,Europe,,,48.5,110.0,291.9,777.2,464,109.5,3.574,0.009,0.22,0.961,294.0,125.9,0.187,0.081,440.6,7221,
w-za-thembisa,Thembisa,South Africa,world,,-25.99636,28.2268,,511655,Africa,,,49.5,96.2,259.2,764.5,450,104.2,3.546,0.033,0.212,0.929,nan,95.6,0.196,0.076,416.8,3232,
w-us-atlanta,Atlanta,United States,world,,33.749,-84.38798,,510823,North America,,,0.5,39.6,100.3,625.8,286,50.2,2.989,0.468,0.686,0.976,122.0,80.1,0.356,0.151,415.6,4708,
w-mx-heroica-matamoros,Heroica Matamoros,Mexico,world,,25.87972,-97.50417,,510739,North America,,,46.5,113.4,267.8,736.4,428,91.5,3.519,0.058,0.169,0.974,104.0,92.9,0.448,0.054,380.8,2959,
w-ru-naberezhnyye-chelny,Naberezhnyye Chelny,Russia,world,,55.73718,52.41961,,509870,Europe,,,46.5,35.1,43.3,411.1,178,311.3,2.689,0.649,0.724,0.978,312.0,33.2,0.145,0.075,188.6,1698,norm_short
w-ru-lipetsk,Lipetsk,Russia,world,,52.5876,39.55151,,509735,Europe,,,42.5,95.0,109.7,612.5,314,295.8,3.389,0.17,0.593,0.935,333.0,19.7,0.116,0.15,148.5,1383,norm_short
w-cd-kikwit,Kikwit,Democratic Republic of the Congo,world,,-5.04098,18.81619,,509367,Africa,,,54.5,67.4,101.0,715.8,391,155.3,3.507,0.069,0.43,0.959,71.0,82.3,0.297,0.097,353.2,2181,
w-br-florianopolis,Florianopolis,Brazil,world,,-27.59667,-48.54917,,508826,South America,,,54.5,165.8,225.3,721.5,409,166.7,3.543,0.037,0.212,0.946,167.0,39.1,0.24,0.178,189.8,2297,norm_short
w-au-newcastle,Newcastle,Australia,world,,-32.92953,151.7801,,508437,Oceania,,,10.5,106.7,125.4,583.9,313,133.4,3.408,0.153,0.321,0.972,119.0,35.0,0.295,0.142,154.8,2108,norm_short
w-ru-kirov,Kirov,Russia,world,,58.59809,49.65783,,507155,Europe,,,88.5,43.8,52.3,597.2,269,107.0,3.158,0.35,0.721,0.985,227.0,17.0,0.416,0.209,153.5,1171,norm_short
w-de-leipzig,Leipzig,Germany,world,,51.33962,12.37129,,504971,Europe,,,1.5,123.9,241.3,746.9,430,129.5,3.503,0.072,0.322,0.991,nan,61.8,0.348,0.09,276.9,8461,
w-de-duisburg,Duisburg,Germany,world,,51.43247,6.76516,,504358,Europe,,,5.5,147.0,238.7,754.0,437,150.2,3.563,0.019,0.243,0.967,357.0,52.2,0.272,0.115,266.6,3930,
w-by-homyel,Homyel',Belarus,world,,52.4345,30.9754,,501193,Europe,,,8.5,55.9,74.4,693.9,375,203.0,3.43,0.135,0.456,0.983,nan,30.0,0.26,0.138,213.0,1701,
w-ao-talatona,Talatona,Angola,world,,-8.91783,13.18562,,500000,Africa,,,24.5,138.4,294.3,782.0,470,135.8,3.538,0.041,0.199,0.954,nan,106.5,0.137,0.178,378.4,4674,
w-co-santa-marta,Santa Marta,Colombia,world,,11.23855,-74.19427,,499192,South America,,,87.5,75.5,205.4,723.2,406,70.8,3.477,0.095,0.382,0.977,385.0,161.0,0.334,0.108,455.3,3519,
